specimen_id,point_index,point_name,x,y,z,fit_x,fit_y,fit_z,theta_deg,radial_coordinate,axial_coordinate,radial_residual,axial_residual,helix_distance
otiorynchus_singularis_trochanter_aligned,24,C.1.24,-0.1542026,-0.1545198,-0.0419191,-0.15161409253081984,-0.17075840634473702,-0.03694772533675684,-436.1812026969904,0.22632306523218956,0.01876987277463257,-0.006517888349466233,0.01589416259019529,0.017178686590646863
otiorynchus_singularis_trochanter_aligned,25,C.1.25,-0.1512843,-0.1627753,-0.07406679,-0.15061436935055242,-0.18308776443155075,-0.06917902200696661,-444.63480390822195,0.22269215970868728,0.017434193954290335,-0.01014879387296852,0.018273950783445816,0.020902997256656876
otiorynchus_singularis_trochanter_aligned,26,C.1.26,-0.1432062,-0.1710375,-0.09506373,-0.14732597007986922,-0.1902092729955364,-0.09207320442477336,-450.5580100829098,0.2192580131261594,0.0110129320516389,-0.013582940455496406,0.014456014564944475,0.019836144497342424
otiorynchus_singularis_trochanter_aligned,27,C.1.27,-0.1349912,-0.1816213,-0.1149355,-0.1420144229357741,-0.19594769016495323,-0.11462486497931143,-456.399915325133,0.21924713217728412,0.0023484890037811373,-0.013593821404371681,0.008359164390426528,0.01595830848430151
otiorynchus_singularis_trochanter_aligned,28,C.1.28,-0.12772,-0.1937518,-0.1342842,-0.13501800866322594,-0.2002221246261116,-0.13603315024766166,-462.0105310411754,0.22301084848272085,-0.007230061507353707,-0.00983010509893495,0.0012465520159528243,0.009908827286040613
otiorynchus_singularis_trochanter_aligned,29,C.1.29,-0.1171533,-0.2120718,-0.1676994,-0.12025093059924852,-0.20446816489289082,-0.16897260397290265,-470.9115179565672,0.23429986956312757,-0.02056814964602297,0.00145891598147177,-0.00817943730870805,0.008308527578824002
otiorynchus_singularis_trochanter_aligned,30,C.1.30,-0.1010212,-0.2171941,-0.2034411,-0.10019133411572168,-0.20556335460576441,-0.20145366279889554,-480.2652271092241,0.2407486593684648,-0.025296436176538505,0.007907705786808994,-0.008796647749513602,0.011828475068230704
otiorynchus_singularis_trochanter_aligned,31,C.1.31,-0.07764272,-0.2132023,-0.2350862,-0.07583954747457536,-0.2032534677548856,-0.23099080448779283,-489.65800092146685,0.2416452653704812,-0.027069078305591847,0.008804311788825403,-0.006441044365972958,0.010908847720968576
otiorynchus_singularis_trochanter_aligned,32,C.1.32,-0.05375221,-0.2077484,-0.2556573,-0.05355007118886844,-0.1990078502700141,-0.25198914415921825,-497.22682405949655,0.2398794504538252,-0.030307030573542927,0.0070384968721693975,-0.0063524010211922595,0.009481214951343695
otiorynchus_singularis_trochanter_aligned,33,C.1.33,-0.02751894,-0.1999613,-0.2722363,-0.029093846622308447,-0.19271468488315802,-0.2701866609685003,-504.8473532190534,0.23714567314730803,-0.03368079711871383,0.004304719565652232,-0.006376846488756959,0.007693814507777066
otiorynchus_singularis_trochanter_aligned,34,C.1.34,-0.000614129,-0.1904116,-0.2866793,-0.0026594873123072793,-0.18443524089579705,-0.2852720765824725,-512.569739144586,0.23589835106846077,-0.03640180599687044,0.0030573974868049747,-0.005703766923939884,0.006471525053258442
otiorynchus_singularis_trochanter_aligned,35,C.1.35,0.02776096,-0.1769619,-0.299992,0.02703364666500173,-0.17365517080100024,-0.2973746635504967,-520.8528633720988,0.23627977490144075,-0.036885813180184066,0.003438821319784957,-0.0025472339317924556,0.004279473422359633
